ds,ID,yhat1,trend,season_yearly
2017-10-07,100_117,254.35694885253903,1129.7861328125,-875.4291381835938
2017-10-14,100_117,362.7948303222656,1130.912353515625,-768.1174926757812
2017-10-21,100_117,572.74169921875,1132.0386962890625,-559.2969360351562
2017-10-28,100_117,899.512451171875,1133.1649169921875,-233.6525115966797
2017-11-04,100_117,1312.2906494140625,1134.291259765625,177.9993896484375
2017-11-11,100_117,1741.9130859375,1135.4173583984375,606.4957885742188
2017-11-18,100_117,2110.164794921875,1136.543701171875,973.62109375
2017-11-25,100_117,2367.641845703125,1137.669921875,1229.97216796875
2017-10-07,100_127,560.62841796875,1746.5125732421875,-1185.8841552734375
2017-10-14,100_127,202.5067138671875,1667.809326171875,-1465.3026123046875
2017-10-21,100_127,-78.2166748046875,1589.10791015625,-1667.3245849609375
2017-10-28,100_127,-203.7613525390625,1510.4063720703125,-1714.167724609375
2017-11-04,100_127,-174.1239013671875,1431.7032470703125,-1605.8271484375
2017-11-11,100_127,-59.405029296875,1353.001708984375,-1412.40673828125
2017-11-18,100_127,43.5440673828125,1274.298583984375,-1230.7545166015625
2017-11-25,100_127,64.6485595703125,1195.5970458984375,-1130.9486083984375
2017-10-07,100_73,480.5711059570313,340.86395263671875,139.7071075439453
2017-10-14,100_73,474.0416259765625,330.0189819335937,144.02264404296875
2017-10-21,100_73,451.205322265625,319.1742248535156,132.0310821533203
2017-10-28,100_73,415.79388427734375,308.3292236328125,107.46467590332033
2017-11-04,100_73,371.84381103515625,297.4842529296875,74.35955047607422
2017-11-11,100_73,322.9157409667969,286.6392517089844,36.27650451660156
2017-11-18,100_73,272.14520263671875,275.79425048828125,-3.6490557193756095
2017-11-25,100_73,222.71728515625,264.9494934082031,-42.23221969604492
2017-10-07,100_88,842.380126953125,714.0205078125,128.359619140625
2017-10-14,100_88,704.5197143554688,710.9158935546875,-6.396150588989258
2017-10-21,100_88,613.8598022460938,707.811279296875,-93.95148468017578
2017-10-28,100_88,578.998046875,704.7067260742188,-125.70863342285156
2017-11-04,100_88,586.3361206054688,701.60205078125,-115.26590728759766
2017-11-11,100_88,609.822509765625,698.4974365234375,-88.67494201660156
2017-11-18,100_88,624.9766235351562,695.3928833007812,-70.41626739501953
2017-11-25,100_88,620.4066162109375,692.2882080078125,-71.88162994384766
2017-10-07,109_117,48.30116653442383,142.1579132080078,-93.8567352294922
2017-10-14,109_117,67.56037902832031,142.16172790527344,-74.60134887695312
2017-10-21,109_117,92.10308074951172,142.16555786132812,-50.06247329711914
2017-10-28,109_117,124.0043487548828,142.16937255859375,-18.165023803710938
2017-11-04,109_117,163.26197814941406,142.17320251464844,21.088787078857425
2017-11-11,109_117,206.85601806640625,142.17703247070312,64.6789779663086
2017-11-18,109_117,249.384765625,142.18084716796875,107.20391845703124
2017-11-25,109_117,285.24139404296875,142.18467712402344,143.0566864013672
2017-10-07,109_127,387.2445373535156,448.9328002929688,-61.688289642333984
2017-10-14,109_127,349.9127197265625,436.9170837402344,-87.00434875488281
2017-10-21,109_127,319.5817565917969,424.901611328125,-105.31986236572266
2017-10-28,109_127,302.14947509765625,412.8858642578125,-110.73639678955078
2017-11-04,109_127,297.89385986328125,400.8704223632813,-102.97655487060548
2017-11-11,109_127,301.3910522460937,388.85491943359375,-87.46389770507812
2017-11-18,109_127,304.505126953125,376.8391723632813,-72.3340835571289
2017-11-25,109_127,300.75274658203125,364.82373046875,-64.07097625732422
2017-10-07,109_73,0.8507437705993652,0.7480816841125488,0.1026620343327522
2017-10-14,109_73,0.6481153964996338,0.650836706161499,-0.0027211545966565
2017-10-21,109_73,0.1789402961730957,0.5535931587219238,-0.3746528923511505
2017-10-28,109_73,-0.4399256706237793,0.4563498497009277,-0.8962754607200623
2017-11-04,109_73,-1.016286015510559,0.3591048717498779,-1.3753907680511477
2017-11-11,109_73,-1.3682641983032229,0.2618613243103027,-1.6301255226135254
2017-11-18,109_73,-1.4056870937347412,0.1646163463592529,-1.570303440093994
2017-11-25,109_73,-1.16961669921875,0.0673727989196777,-1.2369896173477173
2017-10-07,109_88,174.2493896484375,175.58660888671875,-1.337216854095459
2017-10-14,109_88,151.0042266845703,175.52955627441406,-24.52532958984375
2017-10-21,109_88,135.1248321533203,175.4724884033203,-40.34766006469727
2017-10-28,109_88,129.5233154296875,175.41543579101562,-45.89213180541992
2017-11-04,109_88,133.6557159423828,175.35838317871094,-41.70266342163086
2017-11-11,109_88,144.2231903076172,175.30133056640625,-31.07813262939453
2017-11-18,109_88,156.8319854736328,175.2442626953125,-18.41227149963379
2017-11-25,109_88,167.80419921875,175.1872100830078,-7.383021831512451
2017-10-07,10_117,363.9410095214844,1401.5704345703125,-1037.62939453125
2017-10-14,10_117,482.8803405761719,1401.7550048828125,-918.874755859375
2017-10-21,10_117,635.0213012695312,1401.939453125,-766.918212890625
2017-10-28,10_117,865.758056640625,1402.1239013671875,-536.3659057617188
2017-11-04,10_117,1209.2755126953125,1402.308349609375,-193.0328521728516
2017-11-11,10_117,1668.0128173828125,1402.492919921875,265.5198669433594
